kanji,hirganaOn,hiraganaKon,Onyumi,Konyumi,Meaning
政,セイ,まつりごと,sei,matsurigoto,"politics, government"
日,"ニチ, ジツ","ひ, -び, -か","nichi, jitsu","hi, -bi, -ka","day, sun, Japan, counter for days"
人,"ジン, ニン",ひと,"jin, nin",hito,person
年,ネン,とし,nen,toshi,"year, counter for years"
十,ジュウ,"とお,と",juu,"tou, to","ten, 10"
二,"ニ,ジ",ふた(つ),"ni, ji",futa(tsu),"two, 2"
本,ホン,もと,hon,moto,"book, present, true, counter for long cylindrical things"
長,チョウ,"なが(い),おさ",chou,"naga(i), osa","long, leader, superior, senior"
出,"シュツ,スイ","で(る),だ(す),い(でる)","shutsu, sui","de(ru), da(su), i(deru)","exit, leave, go out"
行,"コウ,ギョウ,アン","い(く),ゆ(く),おこな(う)","kou, gyou, an","i(ku), yu(ku), okona(u)","going, journey, carry out, line, row"
見,ケン,"み(る),み(せる)",ken,"mi(ru), mi(seru)","see, hopes, chances, idea, opinion, look at, visible"
月,"ゲツ,ガツ",つき,"getsu, gatsu",tsuki,"month, moon"
分,"ブン,フン,ブ",わ(ける),"bun, fun, bu",wa(keru),"part, minute of time, understand"
後,"ゴ,コウ","のち,うし(ろ),あと","go, kou","nochi, ushi(ro), ato","behind, back, later"
前,ゼン,まえ,zen,mae,"in front, before"
生,"セイ,ショウ","い(きる),う(む),お(う),は(える),なま","sei, shou","i(kiru), u(mu), o(u), ha(eru), nama","life, genuine, birth"
間,"カン,ケン","あいだ,ま,あい","kan, ken","aida, ma, ai","interval, space"
上,"ジョウ,ショウ,シャン","うえ,うわ,かみ,あ(げる),のぼ(る),たてまつ(る)","jou, shou, shan","ue, uwa, kami, a(geru), nobo(ru), tatematsu(ru)","above, up"
東,トウ,ひがし,tou,higashi,east
四,シ,"よ(つ),よん",shi,"yo(tsu), yon","four, 4"
九,"キュウ,ク",ここの(つ),"kyuu, ku",kokono(tsu),"nine, 9"
入,ニュウ,"い(る),はい(る)",nyuu,"i(ru), hai(ru)","enter, insert"
学,ガク,まな(ぶ),gaku,mana(bu),"study, learning, science"
高,コウ,たか(い),kou,taka(i),"tall, high, expensive"
円,エン,まる(い),en,maru(i),"circle, yen, round"
子,"シ,ス,ツ","こ,ね","shi, su, tsu","ko, ne",child
外,"ガイ,ゲ","そと,ほか,はず(す),と","gai, ge","soto, hoka, hazu-, to-",outside
八,ハチ,"や(つ),よう",hachi,"ya(tsu), you","eight, 8"
六,ロク,"む(つ),むい",roku,"mu(tsu), mui","six, 6"
下,"カ,ゲ","した,しも,もと,さ(げる),くだ(る),お(ろす)","ka, ge","shita, shimo, moto, sa(geru), kuda(ru), o(rosu)","below, down, descend, give, low, inferior"
来,"ライ,タイ","く.る,きた.る,き,こ","rai, tai","kuru, kitaru, ki, ko","come, due, next, cause, become"
山,"サン,セン",やま,"san, sen",yama,mountain
話,ワ,"はな(す),はなし",wa,"hana(su), hanashi","tale, talk"
北,ホク,きた,hoku,kita,north
書,ショ,か(く),sho,kaku,write
先,セン,"さき,ま(ず)",sen,"saki, ma(zu)","before, ahead, previous, future, precedence"
名,"メイ,ミョウ",な,"mei, myou",na,"name, noted, distinguished, reputation"
千,セン,ち,sen,chi,thousand
半,ハン,なか(ば),han,naka(ba),"half, middle, odd number, semi-"
男,"ダン,ナン","おとこ,お","dan, nan","otoko, o",male; man
西,"セイ,サイ",にし,"sei, sai",nishi,west
語,ゴ,かた(る),go,kata(ru),"word, speech, language"
土,"ド,ト",つち,"do, to",tsuchi,"soil, earth, ground"
木,"ボク,モク","き,こ","boku, moku","ki, ko","tree, wood"
聞,"ブン,モン",き(く),"bun, mon",ki(ku),to hear; to listen; to ask
食,"ショク,ジキ","く(う),た(べる),は(む)","shoku, jiki","k(u), ta(beru), ha(mu)","eat, food"
車,シャ,くるま,sha,kuruma,"car, wheel"
何,カ,"なに,なん",ka,"nani, nan",what
南,"ナン,ナ",みなみ,"nan, na",minami,south
毎,マイ,ごと(に),mai,goto(ni),every
白,"ハク,ビャク",しろ(い),"haku, byaku",shiro(i),white
天,テン,あまつ,ten,amatsu,"heavens, sky, imperial"
火,カ,"ひ,び,ほ-",ka,"hi, bi, ho",fire
右,"ウ,ユウ",みぎ,"u, yuu",migi,right
読,"ドク,トク,トウ",よ(む),"doku, toku, tou",yo(mu),to read
友,ユウ,とも,yuu,tomo,friend
左,"サ,シャ",ひだり,"sa, sha",hidari,left
休,キュウ,やす(む),kyuu,yasu(mu),"rest, day off, retire, sleep"
父,フ,"ちち,とう",fu,"chichi, tou",father
