kanji	hirganaOn	hiraganaKon	Onyumi	Konyumi	Meaning
一	イチ	ひと(つ)	ichi	hito(tsu)	one
大	"ダイ,タイ"	おお(きい)	"dai, tai"	oo(kii)	"large, big"
中	チュウ	"なか,うち,あた(る)"	chuu	"naka, uchi, ata(ru)"	"in, inside, middle, mean, center"
三	サン	み(つ)	san	mi(tsu)	"three, 3"
時	ジ	"とき,どき"	ji	"toki, doki"	"time, hour"
五	ゴ	いつ(つ)	go	itsu(tsu)	"five, 5"
今	"コン,キン"	いま	"kon, kin"	ima	now; the present
気	"キ,ケ"	いき	"ki, ke"	iki	"spirit, mind, air, atmosphere, mood"
七	シチ	"なな(つ),なの"	shichi	"nana(tsu), nano"	"seven, 7"
女	ジョ	"おんな,め"	jo	"onnna, me"	"woman, female"
水	スイ	みず	sui	mizu	water
電	デン	don't	den	don't	electricity; electric powered
校	コウ	don't	kou	don't	"school, exam"
万	"マン,バン"	don't	"man, ban"	don't	"ten thousand, 10,000"
雨	ウ	"あめ,あま"	u	"ame, ama"	rain
